S. No.,DESCRIPTION,ORDER NO,HSN CODE,QTN,RATE,DISC (%),Amount,GST %,Supplier Name,Supplier Address,Supplier Email,Contact Number,Supplier GSTIN,Reciever Name,Reciever Address,Reciever GSTIN,Invoice Number,Invoice Number,Billing Period
1,"Natural Oval Coconut Shell Bowls-
150ml (Set of 10)",BL202569276,14049030,1,499,34%,329.34,5.00%,Thenga,"Thenga, 2nd Floor, Manjali Building, CBE Road,
Sultanpet, 678001",marketing@thengacoco.com,9633813926,32DSYPK4288M1ZR,Living Brown Private Limited,"401, Shanti Sadan , Chs Ltd , FP NO
282,283 Cts-F Tps-III, 36TH Road Bandra
West, Mumbai City,400050",27AADCL9982G1ZZ,INV-597DB646,2026-01-05,Dec 01 - Dec 31 2025
2,"Coconut Shell Spoon & Fork - Set of 2
Natural & Handmade",BL202569305,14049030,1,399,34%,263.34,5.00%,Thenga,"Thenga, 2nd Floor, Manjali Building, CBE Road,
Sultanpet, 678001",marketing@thengacoco.com,9633813926,32DSYPK4288M1ZR,Living Brown Private Limited,"401, Shanti Sadan , Chs Ltd , FP NO
282,283 Cts-F Tps-III, 36TH Road Bandra
West, Mumbai City,400050",27AADCL9982G1ZZ,INV-597DB646,2026-01-05,Dec 01 - Dec 31 2025
3,"Artisan Jumbo Coconut Shell Bowls
And Spoon Sets- 900ml (Set of 2)",BL202569332,14049030,1,739,34%,487.74,5.00%,Thenga,"Thenga, 2nd Floor, Manjali Building, CBE Road,
Sultanpet, 678001",marketing@thengacoco.com,9633813926,32DSYPK4288M1ZR,Living Brown Private Limited,"401, Shanti Sadan , Chs Ltd , FP NO
282,283 Cts-F Tps-III, 36TH Road Bandra
West, Mumbai City,400050",27AADCL9982G1ZZ,INV-597DB646,2026-01-05,Dec 01 - Dec 31 2025
4,"Artisan Jumbo Coconut Shell Bowls
And Spoon Sets- 900ml (Set of 2)",BL202569344,14049030,1,739,34%,487.74,5.00%,Thenga,"Thenga, 2nd Floor, Manjali Building, CBE Road,
Sultanpet, 678001",marketing@thengacoco.com,9633813926,32DSYPK4288M1ZR,Living Brown Private Limited,"401, Shanti Sadan , Chs Ltd , FP NO
282,283 Cts-F Tps-III, 36TH Road Bandra
West, Mumbai City,400050",27AADCL9982G1ZZ,INV-597DB646,2026-01-05,Dec 01 - Dec 31 2025
5,"100% Natural Coconut Shell Candle
Holder Lantern Tealight - Tropical",BL202569344,14049030,2,1138,34%,751.08,5.00%,Thenga,"Thenga, 2nd Floor, Manjali Building, CBE Road,
Sultanpet, 678001",marketing@thengacoco.com,9633813926,32DSYPK4288M1ZR,Living Brown Private Limited,"401, Shanti Sadan , Chs Ltd , FP NO
282,283 Cts-F Tps-III, 36TH Road Bandra
West, Mumbai City,400050",27AADCL9982G1ZZ,INV-597DB646,2026-01-05,Dec 01 - Dec 31 2025
6,"Coconut Shell Kids Serving Bowl |
Animal Design - CAT 350ml (Set of 1)",BL202569344,14049030,4,1716,34%,1132.56,5.00%,Thenga,"Thenga, 2nd Floor, Manjali Building, CBE Road,
Sultanpet, 678001",marketing@thengacoco.com,9633813926,32DSYPK4288M1ZR,Living Brown Private Limited,"401, Shanti Sadan , Chs Ltd , FP NO
282,283 Cts-F Tps-III, 36TH Road Bandra
West, Mumbai City,400050",27AADCL9982G1ZZ,INV-597DB646,2026-01-05,Dec 01 - Dec 31 2025
7,"Oval Raw Coconut Shell Bowls (Pack of
15 | 150ml)",BL202569344,14049030,1,499,34%,329.34,5.00%,Thenga,"Thenga, 2nd Floor, Manjali Building, CBE Road,
Sultanpet, 678001",marketing@thengacoco.com,9633813926,32DSYPK4288M1ZR,Living Brown Private Limited,"401, Shanti Sadan , Chs Ltd , FP NO
282,283 Cts-F Tps-III, 36TH Road Bandra
West, Mumbai City,400050",27AADCL9982G1ZZ,INV-597DB646,2026-01-05,Dec 01 - Dec 31 2025
8,"Mini Coconut Bowl & Shell ,Spoon Set
of 2, 110 ml Dessert Bowl",BL202569349,14049030,1,449,34%,296.34,5.00%,Thenga,"Thenga, 2nd Floor, Manjali Building, CBE Road,
Sultanpet, 678001",marketing@thengacoco.com,9633813926,32DSYPK4288M1ZR,Living Brown Private Limited,"401, Shanti Sadan , Chs Ltd , FP NO
282,283 Cts-F Tps-III, 36TH Road Bandra
West, Mumbai City,400050",27AADCL9982G1ZZ,INV-597DB646,2026-01-05,Dec 01 - Dec 31 2025
9,"Mini Coconut Bowl & Shell ,Spoon Set
of 2, 110 ml Dessert Bowl",BL202569372,14049030,1,449,34%,296.34,5.00%,Thenga,"Thenga, 2nd Floor, Manjali Building, CBE Road,
Sultanpet, 678001",marketing@thengacoco.com,9633813926,32DSYPK4288M1ZR,Living Brown Private Limited,"401, Shanti Sadan , Chs Ltd , FP NO
282,283 Cts-F Tps-III, 36TH Road Bandra
West, Mumbai City,400050",27AADCL9982G1ZZ,INV-597DB646,2026-01-05,Dec 01 - Dec 31 2025
10,"Coconut Shell Tight Storage Containers
with Lid (Set of 1)",BL202569372,14049030,3,1047,34%,691.02,5.00%,Thenga,"Thenga, 2nd Floor, Manjali Building, CBE Road,
Sultanpet, 678001",marketing@thengacoco.com,9633813926,32DSYPK4288M1ZR,Living Brown Private Limited,"401, Shanti Sadan , Chs Ltd , FP NO
282,283 Cts-F Tps-III, 36TH Road Bandra
West, Mumbai City,400050",27AADCL9982G1ZZ,INV-597DB646,2026-01-05,Dec 01 - Dec 31 2025
